<S> w a n d e r e,wandered
<S> d u r s l e y,dursleys
<S> c h o c o l a t,chocolate
<S> d o,door
<S> e n o,enough
<S> s,seemed
<S> g r o u n,ground
<S> d r a g o,dragon
<S> y e,yes
<S> g r o u n d,grounds
<S> m u r m u r,murmured
<S> l i t t,little
<S> c o m m o,common
<S> p,passed
<S> t h e i,their
<S> o,on
<S> a f t,afternoon
<S> p o i n,pointing
<S> i n t e r e s,interesting
<S> t w,two
<S> d r,dragon
<S> o n,one
<S> b i,bit
<S> g o y l,goyle
<S> s,so
<S> s t a,stared
<S> f e e,feet
<S> h o,howling
<S> m o m e,moment
<S> g,good
<S> r a v e,ravenclaw
<S> h o l d i,holding
<S> a,at
<S> b,bit
<S> a,as
<S> f i,firenze
<S> s o r r,sorry
<S> h,him
<S> h o w,however
<S> g,gasped
<S> w a l,wall
<S> i n v i,invisibility
<S> f,felt
<S> i,i'll
<S> h,hardly
<S> t o,took
<S> b,being
<S> t h,thinking
<S> e v e r y t h,everything
<S> f o l l o w i,following
<S> s t a i r c a s,staircase
<S> b l u d g e r,bludgers
<S> h i,him
<S> g o,good
<S> l a t,later
<S> s t a,stay
<S> t,try
<S> m o r,more
<S> l,letter
<S> e v e n i,evening
<S> o v e,over
<S> a w,away
<S> n e x,next
<S> f r,fred
<S> g e t t,getting
<S> a l m o s,almost
<S> w a,was
<S> h a,hardly
<S> n a m,name
<S> p l a t,platform
<S> w h a,what
<S> t o n i g h,tonight
<S> q u i d,quidditch
<S> i,in
<S> w a t c h i,watching
<S> w i,will
<S> u,up
<S> s n a,snape
<S> f,few
<S> m a,malfoy's
<S> s n a p,snape
<S> s,shut
<S> m,more
<S> m,mother
<S> s,stand
<S> h,hall
<S> a p p e a r,appeared
<S> a n y t,anythin'
<S> r a v e n,ravenclaw
<S> c,cauldron
<S> d o,down
<S> a n,and
<S> s t a r,stared
<S> o t h e,other
<S> n i g,night
<S> f i n i s h,finished
<S> o,on
<S> r e m,remember
<S> d a r,dark
<S> t,table
<S> g,giant
<S> c,could
<S> d i s,disappeared
<S> w e l,well
<S> p o i n t,pointing
<S> l,long
<S> c,crabbe
<S> t,their
<S> t h e,then
<S> s e,seen
<S> b,being
<S> g,gone
<S> s,sure
<S> a u,aunt
<S> w,wizard
<S> b e,being
<S> m u g g l,muggles
<S> s t,stuff
<S> t h r e e h e a d,threeheaded
<S> b e f o,before
<S> t h r e e h e a d e,threeheaded
<S> h e ',he's
<S> c l e a r i n,clearing
<S> g e o r,george
<S> i,is
<S> w o,world
<S> f l u f f,fluffy
<S> b o,both
<S> w,we
<S> c,clearing
<S> s,slytherins
<S> f i n i s h e,finished
<S> h o w,howling
<S> m o m e n,moment
<S> s,suddenly
<S> g r,great
<S> i,is
<S> w o,won't
<S> a,always
<S> t,tried
<S> t a k,taken
<S> f r i e n,friends
<S> h e ',he'd
<S> m,money
<S> t r,tried
<S> s,slytherin
<S> m o,money
<S> n e v i l,neville
<S> b,but
<S> c a m,came
<S> f e,few
<S> t r,try
<S> g l a,glass
<S> l e a,leaving
<S> h a n d k e,handkerchief
<S> n,never
<S> t h i,think
<S> t h,through
<S> o,on
<S> c,common
<S> h,heart
<S> c a,cauldron
<S> w o r,world
<S> q u i r,quirrell
<S> s e a m u,seamus
<S> s a y i,saying
<S> a n o,another
<S> w,we
<S> a,as
<S> w e,went
<S> c o,could
<S> f l o,floor
<S> t,this
<S> s t,stand
<S> f e,felt
<S> c o u,could
<S> p a,passed
<S> i n t e r e s t,interesting
<S> v o,voice
<S> s t a,stand
<S> v e r n,vernon
<S> f u,full
<S> c a r e f,careful
<S> u n t,until
<S> p e t u,petunia
<S> g r o,ground
<S> h u,hundred
<S> a n o t,another
<S> m i n,minutes
<S> j,jordan
<S> c,can
<S> w e,we've
<S> p o,potter
<S> m u t,muttered
<S> t e r,terrible
<S> a n y,anyone
<S> t h,this
<S> g e o r g,george
<S> m c g o n a g a l l,mcgonagall's
<S> o,off
<S> s,see
<S> l o u,loudly
<S> t r,train
<S> f a m,famous
<S> p l,playing
<S> c h a r l i,charlie
<S> w i,with
<S> s t u d e n t,students
<S> j o,jordan
<S> a,as
<S> f o l,followed
<S> a n s w e,answer
<S> f a,face
<S> w h,when
<S> s h,should
<S> f u l,full
<S> f e,fell
<S> s,sorcerer's
<S> o w,owl
<S> w i,without
<S> j o r,jordan
<S> h,how
<S> i t ',it's
<S> d,dudley
<S> n o,nothing
<S> f e l,fell
<S> j o r d,jordan
<S> p o,points
<S> t h i,thinking
<S> a n,anything
<S> a,and
<S> a g a i,again
<S> a n o t h,another
<S> s u p p o s,suppose
<S> s,say
<S> t,tonight
<S> u n c l,uncle
<S> p e t u n,petunia
<S> q,quickly
<S> s t a,started
<S> s o,sorcerer's
<S> g i,giant
<S> f o r g o,forgotten
<S> b r,broomstick
<S> w a,walked
<S> h a r r,harry
<S> c e i l i,ceiling
<S> d,dropped
<S> a n o t h e,another
<S> l o o,look
<S> t h o,though
<S> w h,white
<S> a,away
<S> l o,long
<S> t r y i,trying
<S> m,mean
<S> w h i l,while
<S> l e,letter
<S> h e,hermione's
<S> r o n,ronan
<S> s c,school
<S> h a,hall
<S> d r,dropped
<S> t,to
<S> k n,know
<S> i,is
<S> a f t e,afternoon
<S> g e o,george
<S> s e a m,seamus
<S> f l a,flamel
<S> a,another
<S> a l,always
<S> p u s h,pushed
<S> h a r,hardly
<S> m u r m u r e,murmured
<S> a b,about
<S> r o,ron's
<S> q u,questions
<S> u,under
<S> w a n,wand
<S> s,second
<S> a w,away
<S> o n l,only
<S> w a s n ',wasn't
<S> s,stay
<S> t h,three
<S> s h o u t e,shouted
<S> t r,troll
<S> b e f o r,before
<S> p o i,points
<S> f l o o,floor
<S> p e o p l,people
<S> n e r v o,nervously
<S> c,crowd
<S> t h i n,things
<S> i,it's
<S> m c g o n a,mcgonagall
<S> c h a,chapter
<S> c a u,caught
<S> a n,and
<S> s t a n,stand
<S> f,few
<S> h e r,hermione's
<S> h a d,hadn't
<S> t,thing
<S> g r y f f,gryffindors
<S> e,every
<S> l a s,last
<S> s t a r,staring
<S> h o w e,however
<S> m i n u,minutes
<S> v o i,voice
<S> e y,eyes
<S> f a t,father
<S> y o u,you'd
<S> w a n,wandering
<S> f l i t,flitwick
<S> t h e,then
<S> s,someone
<S> s o m e w,somewhere
<S> s t r a i g h,straight
<S> a g a i n,against
<S> o,owl
<S> t h,threequarters
<S> b r o u g,brought
<S> t a,table
<S> m e,mean
<S> v,very
<S> w e,we'll
<S> t a k e,taken
<S> a u n,aunt
<S> m a l,malfoy's
<S> a s,ask
<S> o w,owl
<S> w h i,white
<S> s,still
<S> p r o f e,professor
<S> y e a r,years
<S> f i n,find
<S> c o r r i d,corridor
<S> y,yes
<S> o,off
<S> h a r d,hardly
<S> b o,boy
<S> l,listen
<S> l,look
<S> d u n g e o n,dungeons
<S> s,snape
<S> f i v,five
<S> p e e v e,peeves
<S> a n y t h,anythin'
<S> c r,crabbe
<S> w e n,went
<S> o,only
<S> m,malfoy
<S> h u f f l,hufflepuff
<S> w o n d,wonder
<S> g o,gone
<S> s,suggested
<S> m a,malfoy
<S> t h o u g h,thought
<S> b,bludger
<S> h a p p,happened
<S> c a r,carefully
<S> a g a i n s,against
<S> y o u ' v,you've
<S> t,to
<S> t o w,toward
<S> y,you
<S> f l i t w,flitwick
<S> v e r n o,vernon
<S> t,they
<S> c,came
<S> h,have
<S> u n,under
<S> s,straight
<S> w,wasn't
<S> s t,stone
<S> d i,did
<S> g e t t i,getting
<S> r e m e m b r,remembrall
<S> h,he's
<S> h,hand
<S> d,don'
<S> r o n,ron's
<S> t,those
<S> u n d,under
<S> c a r e f u,careful
<S> c o r n,corner
<S> f o r,forest
<S> w o,wood
<S> t,threw
<S> t,taken
<S> t h,those
<S> m o,more
<S> i n v i s,invisibility
<S> w h a,what's
<S> f o r g,forget
<S> w,would
<S> t o,told
<S> g o,going
<S> o n c,once
<S> s a,said
<S> w o n,won't
<S> s,stepped
<S> s h,shut
<S> b l u d,bludgers
<S> u,us
<S> o,out
<S> e v,every
<S> i n v i s i,invisibility
<S> c o m p a r,compartment
<S> u,uncle
<S> y o,you
<S> h,harry's
<S> r,really
<S> t h,threw
<S> h i m s e,himself
<S> s e,seemed
<S> d,dark
<S> w a,walking
<S> c o r r i d o,corridor
<S> p l a,playing
<S> g r,gringotts
<S> b e,behind
<S> c u p,cupboard
<S> e,exactly
<S> w,weasley
<S> y e,yeh
<S> n o d d e,nodded
<S> f,for
<S> n o t,nothing
<S> s a y i n,saying
<S> l,let
<S> w a t c h e,watched
<S> s l,slytherins
<S> w,while
<S> w h i c,which
<S> o,on
<S> o u t s i d,outside
<S> a f t e r,afternoon
<S> a n s w e,answer
<S> s a i,said
<S> h a,harry's
<S> o,old
<S> c o m p a r t,compartment
<S> s n a p p,snapped
<S> n i c,nice
<S> i n,into
<S> h o l d i n,holding
<S> p,people
<S> f,fluffy
<S> w,which
<S> t u r n i n,turning
<S> g r y f f i,gryffindors
<S> d u,dudley
<S> a l r e a,already
<S> c a u,cauldron
<S> a f t,after
<S> t a b,table
<S> f i r,firenze
<S> a w a,away
<S> n o d d,nodded
<S> c o u r s,course
<S> n o t i c,noticed
<S> k,knew
<S> s n,snape's
<S> s t,stopped
<S> n i c o l a,nicolas
<S> b l,bludger
<S> o p,open
<S> m,moment
<S> c,careful
<S> t i,time
<S> s t a r,started
<S> f o r g e,forget
<S> f o u,four
<S> s u,sure
<S> p r a c t i,practice
<S> y,you've
<S> m c g o n a g,mcgonagall
<S> l a t e,later
<S> c a u l,cauldron
<S> d,done
<S> c,coming
<S> a n,another
<S> s h o,should
<S> w h,which
<S> n,never
<S> b e i,being
<S> m,mind
<S> g a,gasped
<S> s t,standing
<S> h,high
<S> h e r m,hermione's
<S> h o w e v,however
<S> w,we
<S> t h o u s a,thousand
<S> e n o u,enough
<S> g r e,great
<S> k n o,know
<S> s,say
<S> a i,air
<S> h a r d l,hardly
<S> y,years
<S> m e a,mean
<S> f o l l,followed
<S> s t a r e,stared
<S> i ',i'll
<S> g,go
<S> c o u l,could
<S> t h r,three
<S> t,that's
<S> i,it
<S> s,seamus
<S> e,everyone
<S> c o m,come
<S> l o,look
<S> m c g o n a g a l l ',mcgonagall's
<S> t h o u s a n,thousand
<S> b r o,broomstick
<S> p u l l,pulled
<S> d i f,difficult
<S> c u p b,cupboard
<S> d i d n ',didn't
<S> l,later
<S> c a l l e,called
<S> b,been
<S> y o u ' r,you're
<S> a s,asked
<S> c h r i s t m,christmas
<S> e v e r y t h i,everything
<S> r,room
<S> h,hardly
<S> r e m e,remember
<S> s,saw
<S> w,what
<S> t r,trouble
<S> e v e r y t h i n,everything
<S> s,she
<S> p o t i o n,potions
<S> s t,straight
<S> e l,else
<S> w o,would
<S> w h,where
<S> s t a t,station
<S> f e,few
<S> c h r i s t m a,christmas
<S> d,dungeons
<S> s e e,seemed
<S> t r y i n,trying
<S> t h r e,three
<S> i,if
<S> w a l,walking
<S> j,just
<S> t h e,these
<S> o n,one
<S> p o s,possible
<S> y o u,youknowwho
<S> t a l,talking
<S> f r i e n d,friends
<S> m u,muggle
<S> p e r,percy
<S> s h,shook
<S> n,nicolas
<S> t e a c h e r,teachers
<S> e y e,eyes
<S> n e r v o u,nervously
<S> n o d d e,nodded
<S> h o,how
<S> f,friends
<S> t e r r,terrible
<S> e,empty
<S> w,was
<S> r o,room
<S> b u,but
<S> w a,was
<S> s t u,stuff
<S> f o l l o,followed
<S> d o w,down
<S> a n y w a,anyway
<S> e,everything
<S> p,peeves
<S> t r o,troll
<S> c u p b o,cupboard
<S> h o u,house
<S> b a c,back
<S> m,make
<S> w h a t,what's
<S> w,wall
<S> h,how
<S> m o r,morning
<S> a b o,about
<S> h,holding
<S> b r o u g h,brought
<S> y,you
<S> n,no
<S> p u s h e,pushed
<S> t,turning
<S> m o,moment
<S> w i t,without
<S> p o t,potter
<S> w h,what
<S> t h a,thanks
<S> r,read
<S> e m,empty
<S> e v e,every
<S> w h,whispered
<S> a,almost
<S> n o t i c e,noticed
<S> w i l,will
<S> w a,want
<S> y o,you
<S> d i r e c,direction
<S> o,other
<S> w i t h,without
<S> w,were
<S> b l u d g,bludgers
<S> s t a r t,started
<S> e,ever
<S> c,come
<S> a l o n,along
<S> h a n d k e r,handkerchief
<S> o f,off
<S> f,fell
<S> c h o c o l a t,chocolate
<S> n e v i l l,neville
<S> y o,you've
<S> f l i t w i,flitwick
<S> c,corridor
<S> o,on
<S> m a d a,madam
<S> w h a t ',what's
<S> b e i n,being
<S> b u s i n e s,business
<S> h o,holidays
<S> t h o,those
<S> p e,people
<S> p a s,passed
<S> w i t h o,without
<S> u,up
<S> f i r,first
<S> j u,just
<S> t h,than
<S> s l y t h e r,slytherins
<S> o p e,open
<S> w,we
<S> c l a,classroom
<S> l o o,look
<S> c,come
<S> t r o l,troll
<S> w o r l,world
<S> s t a,standing
<S> g i a,giant
<S> y o,you'll
<S> p a s s,passed
<S> t h e y ' r,they're
<S> t o l,told
<S> d o o,door
<S> c o u l,couldn't
<S> c a,can
<S> w i t,with
<S> f,feet
<S> e i t h e,either
<S> w a i,waiting
<S> m,madam
<S> s a,say
<S> w a l,walked
<S> t h,they're
<S> u n t i,until
<S> l o o k,looked
<S> d,don't
<S> m o n,money
<S> s,stone
<S> l e t,letter
<S> g r y,gryffindor
<S> g r y f f i n,gryffindors
<S> l o o k i n,looking
<S> h,he'd
<S> f a,family
<S> c o,coming
<S> s u,suddenly
<S> a r,are
<S> l e,leave
<S> o n,onto
<S> m a,madam
<S> f r e,fred
<S> l,loudly
<S> t h r,through
<S> t,two
<S> a n,any
<S> n,name
<S> l,library
<S> i ' v,i've
<S> f i l,filch
<S> r a v e n c,ravenclaw
<S> s o,somethin'
<S> y e a,yeah
<S> n,neville
<S> m u g,muggle
<S> m i n u t,minutes
<S> b,business
<S> b r o o,broomstick
<S> m c g o n a g a,mcgonagall
<S> l i k,like
<S> a f t e r n,afternoon
<S> s o,sound
<S> w a,wanted
<S> t,to
<S> i ' l,i'll
<S> h a,had
<S> w e ',we'll
<S> c r,crowd
<S> t,take
<S> f e,fell
<S> n e a r,nearly
<S> f o l l o w,followed
<S> u,understand
<S> n,no
<S> q u e s t i o,question
<S> t h a,than
<S> a n y o,anyone
<S> t,three
<S> b e t w e e,between
<S> t a,take
<S> w i,wizard
<S> p u s,pushed
<S> s a,saw
<S> h i m s e l,himself
<S> h e r m i,hermione's
<S> a w a,away
<S> h e r m i o n,hermione
<S> s m a l,small
<S> l e a v,leaving
<S> r o n ',ron's
<S> m o r n,morning
<S> m a,magic
<S> g e t t i n,getting
<S> m o m,moment
<S> h a d n,hadn't
<S> e v,everything
<S> h a n d k e r c,handkerchief
<S> s e,second
<S> n e,need
<S> r e a c h e,reached
<S> g e,getting
<S> l i t t l,little
<S> h e,hear
<S> h,here
<S> g o o,good
<S> h e a,hear
<S> d o i,doing
<S> a f t e,after
<S> d u m b,dumbledore
<S> y e,yes
<S> t a k,taking
<S> s e,seamus
<S> i n t,into
<S> f i r e,firenze
<S> d r a,dragon
<S> s,small
<S> t r i,tried
<S> p a s,past
<S> y,you're
<S> o,of
<S> i,into
<S> h,hogwarts
<S> e n o u g,enough
<S> s,saying
<S> b,be
<S> k n o,knocked
<S> t,to
<S> q u a f,quaffle
<S> m c g o n a g a l,mcgonagall
<S> m u t t,muttered
<S> s p o t t,spotted
<S> y o u,yourself
<S> g,get
<S> q u i d d,quidditch
<S> h o o c,hooch
<S> h a,hand
<S> a l w,always
<S> c,can
<S> e v,ever
<S> p r a c t i c,practice
<S> c o m p a r t m,compartment
<S> d,dursleys
<S> n o,not
<S> m o r n i,morning
<S> t o g e t,together
<S> t u,turning
<S> r,round
<S> a,after
<S> h o,how
<S> f i r e n,firenze
<S> m a g,magic
<S> w,will
<S> u,up
<S> s t,stand
<S> t r y i n,trying
<S> g r y f f i n d,gryffindors
<S> p o s s,possible
<S> q u e,questions
<S> u p s t a i,upstairs
<S> s o,someone
<S> y o u ',you'd
<S> e v e,everything
<S> w a n,wanted
<S> s,school
<S> t a b l,table
<S> c h a p,chapter
<S> i t,it's
<S> i ',i'm
<S> h,harry
<S> h e,here
<S> b,better
<S> a l r e a d,already
<S> q u i r r,quirrell
<S> f u l,full
<S> h a n,hands
<S> p u l l e,pulled
<S> a f t e r n o,afternoon
<S> d,door
<S> s l,slytherin
<S> i n s i d,inside
<S> t a,taken
<S> t,ter
<S> y e,yer
<S> o t h e r,others
<S> w,was
<S> p l a t f,platform
<S> t a k,take
<S> p r o b a b l,probably
<S> f a c,face
<S> p l a y,playing
<S> s e,see
<S> f o l l o w e,followed
<S> g r o u n,ground
<S> p u,put
<S> l e t t,letter
<S> m i n u t e,minutes
<S> d,do
<S> f e,feet
<S> q u i r r e l,quirrell's
<S> n i m b u,nimbus
<S> c,chocolate
<S> a,as
<S> e,even
<S> w a,wasn't
<S> p o i n,points
<S> m o r n i n,morning
<S> w a n,want
<S> s t,stepped
<S> h a d n ',hadn't
<S> m,minutes
<S> t a l k,talking
<S> l,like
<S> r e m e m b r a,remembrall
<S> l e,left
<S> t h i n g,things
<S> t w,twins
<S> f r,from
<S> t h r o,through
<S> c o,corridor
<S> d o,don't
<S> p a r,parents
<S> e v e r,everything
<S> f l a m,flamel
<S> q u i r r e l l,quirrell's
<S> a n o,another
<S> c o,common
<S> b,be
<S> s,smiling
<S> a,an
<S> w a l k,walking
<S> b e,because
<S> f,full
<S> m,morning
<S> d r a g,dragon
<S> g r a n g e,granger
<S> d i f f,difficult
<S> s t,still
<S> n o r b e,norbert
<S> u,until
<S> s u,suggested
<S> w a l k i,walking
<S> p a s s e,passed
<S> s,spoke
<S> k n,knew
<S> t e r r i,terrible
<S> p e o,people
<S> w e ',we're
<S> h,his
<S> c a r e,carefully
<S> w a l k i n,walking
<S> v o i c,voice
<S> a,an
<S> s t a r t e,started
<S> p e o p,people
<S> q u a f f,quaffle
<S> c l,climbed
<S> c,course
<S> w,who
<S> w e ',we've
<S> s o m e t h i n,something
<S> h,hadn't
<S> b,before
<S> t,then
<S> l a,later
<S> f,forest
<S> b o o,books
<S> g e t,getting
<S> d r a g o,dragon
<S> s l y,slytherin
<S> g l a s,glass
<S> h a l l o w,halloween
<S> m o,mother
<S> b o o k,books
<S> h a n d,hands
<S> t h o u,thought
<S> t,to
<S> f,followed
<S> s m,small
<S> f,four
<S> m u t t e,muttered
<S> i,inside
<S> s a,saw
<S> f a m o,famous
<S> o,others
<S> p l e a,please
<S> e,eyes
<S> p,pulled
<S> s,stared
<S> w h e,where
<S> s t a n,standing
<S> u p s t a i r,upstairs
<S> w e,went
<S> c u p b o a,cupboard
<S> t h r,threequarters
<S> t h e y ',they'd
<S> t a l k i,talking
<S> s t i,still
<S> a n y,anything
<S> e v e r y,everything
<S> f e l,felt
<S> a,away
<S> h a n,hand
<S> w o n ',won't
<S> u n,until
<S> h a v e,haven't
<S> s t u f,stuff
<S> l e t t e,letter
<S> b e,been
<S> b l u d g e,bludgers
<S> t u r,turned
<S> r,reached
<S> h,horrible
<S> s p,spoke
<S> h e,he's
<S> t a k i,taking
<S> h u n,hundred
<S> n o r b e r,norbert
<S> q,quite
<S> a n y o n,anyone
<S> t h e y ',they'd
<S> t h,thing
<S> c e,certainly
<S> h a,hardly
<S> t h,then
<S> h o w e v e,however
<S> a f t e r n o o,afternoon
<S> m,my
<S> t o g e t,together
<S> a l,almost
<S> f l,fluffy
<S> d o,door
<S> c u p b o a r,cupboard
<S> t a,taken
<S> s t r,strange
<S> c o,course
<S> l,look
<S> h a v e n,haven't
<S> t,told
<S> j o r d a,jordan
<S> l i,listen
<S> f i l c,filch
<S> h a l,hall
<S> t o,tonight
<S> h e,her
<S> t h,that's
<S> m i,mind
<S> k n e,knew
<S> t h r e,threequarters
<S> w i,will
<S> s o r,sorcerer's
<S> c r o,crowd
<S> c l,cloak
<S> a c r o s,across
<S> s,said
<S> t,table
<S> o,on
<S> f o l l o w i n,following
<S> r i,right
<S> y,you'd
<S> t h o u g,thought
<S> c o,come
<S> e v,even
<S> s m,smiling
<S> r a v e n c l,ravenclaw
<S> m a d,madam
<S> n,not
<S> w e ' l,we'll
<S> s n a p p e,snapped
<S> m,mean
<S> c a,careful
<S> f,find
<S> h o l i,holidays
<S> l e a v i,leaving
<S> e m p,empty
<S> v,voldemort
<S> d u,dudley's
<S> f r o,from
<S> s t a n d,standing
<S> m o r,more
<S> d,down
<S> r,read
<S> h,hall
<S> w e,were
<S> f o,for
<S> s t,stone
<S> s o r c,sorcerer's
<S> g o i,going
<S> m i n,mind
<S> k,knew
<S> r e,reached
<S> l a t,later
<S> s e c,second
<S> g e t t,getting
<S> d o,don'
<S> h u f f l e,hufflepuff
<S> f,following
<S> f l a m e,flamel
<S> s t a r i,staring
<S> h o,hogwarts
<S> l i s t e n i n,listening
<S> s t a,stand
<S> f i r e n z,firenze
<S> h a p p e,happened
<S> p r a c t i c,practice
<S> h e a,head
<S> r e m e m b r a l,remembrall
<S> g,granger
<S> c a,can
<S> s o m e w h,somewhere
<S> d,dragon
<S> b,but
<S> t,they'd
<S> l o,look
<S> l i s,listen
<S> h,him
<S> f a m o u,famous
<S> l o n,long
<S> e m p t,empty
<S> s o r c e,sorcerer's
<S> t o w a,toward
<S> g o i n,going
<S> s,see
<S> r e m e m,remember
<S> b r o o m,broomstick
<S> w a i t,waiting
<S> w o u,would
<S> p o i n t i,pointing
<S> l o,loudly
<S> s t r a n,strange
<S> b r o u,brought
<S> t,thought
<S> p e,peeves
<S> y o,you're
<S> t,tell
<S> c l i,climbed
<S> s h o u,should
<S> e v e r y t,everything
<S> a,an'
<S> b,boy
<S> w,won't
<S> s t i l,still
<S> s a,saying
<S> e v e,ever
<S> a,afternoon
<S> s,small
<S> d,didn't
<S> c o r,corridor
<S> h,hermione
<S> h a v e n ',haven't
<S> a,as
<S> c r a,crabbe
<S> l o u,loudly
<S> l i s t,listen
<S> a,anyone
<S> m o t,mother
<S> w a t c h i n,watching
<S> a s k,asked
<S> a b o u,about
<S> f r,fred
<S> s m i,smiling
<S> d i f f e r e n,different
<S> a r o u,around
<S> d u d,dudley
<S> o,one
<S> s h o,shook
<S> s u r,sure
<S> t o n,tonight
<S> s t a n,stand
<S> a l m,almost
<S> t,they'd
<S> m u c,much
<S> h,however
<S> t h e r,there
<S> b e,before
<S> m u g g l e,muggles
<S> c o m,coming
<S> w h,who
<S> t,things
<S> n o,now
<S> m o t h,mother
<S> c o r r,corridor
<S> d,do
<S> q u,quite
<S> b i,bit
<S> t,take
<S> i m p o r t a,important
<S> o t,others
<S> d u d,dudley's
<S> t w,twelve
<S> f a m i l i e,families
<S> m,mean
<S> c a u g,caught
<S> o,open
<S> w,well
<S> f o u,found
<S> n a,name
<S> h u f f l e p,hufflepuff
<S> n o t h,nothing
<S> c a l l,called
<S> e v e n i n,evening
<S> g e,get
<S> s,shook
<S> t,trying
<S> s w a,swallowed
<S> b,bit
<S> m o t h e,mother
<S> y,yes
<S> b,be
<S> p a r e,parents
<S> k n,knew
<S> b,be
<S> t h a,that's
<S> l i,like
<S> m i,might
<S> t a k,taken
<S> a,across
<S> f i,find
<S> j,just
<S> a f,afternoon
<S> c e r,certainly
<S> f,flamel
<S> b u,but
<S> n o t h i,nothing
<S> f o r w a r,forward
<S> h i,high
<S> p r o f e s,professor
<S> c,can't
<S> g,get
<S> w a,wall
<S> g e,get
<S> w e ' r,we're
<S> n e r v o u s,nervously
<S> a,along
<S> k n e,knew
<S> s a,said
<S> a,any
<S> d r o,dropped
<S> n i g h,night
<S> m,me
<S> d o e,does
<S> t,thousand
<S> p e o p l,people
<S> t o o,took
<S> h o g,hogwarts
<S> h e ',he's
<S> s,strange
<S> c o m p a r t m e,compartment
<S> m a,make
<S> f o,following
<S> y o u r,yourself
<S> l,leave
<S> a p p e a r e,appeared
<S> d o,done
<S> a,again
<S> b,books
<S> t h e m,themselves
<S> d u m b l e d o r e ',dumbledore's
<S> t w,two
<S> w,why
<S> p a r e n,parents
<S> y o u k,youknowwho
<S> p o r t r a,portrait
<S> p l a t f o,platform
<S> a l,along
<S> t e,ter
<S> l,letter
<S> f o,four
<S> t,took
<S> h,himself
<S> d u d l,dudley's
<S> f,floor
<S> p e t u n i,petunia
<S> o t,other
<S> m o,morning
<S> l,last
<S> a w,away
<S> f,forward
<S> f l i t w i c,flitwick
<S> g l a,glass
<S> h a p p e n,happened
<S> p o i n t i n,pointing
<S> l,little
<S> m a l,malfoy
<S> s h o u l,should
<S> w i z,wizard
<S> t h e,them
<S> t h e s,these
<S> d o,down
<S> a,aunt
<S> l,large
<S> l e f,left
<S> s e c o,second
<S> g,goyle
<S> d r,dragon
<S> h,he's
<S> t e a,teachers
<S> h u n d,hundred
<S> n e,never
<S> a,as
<S> c o m,common
<S> w i z a,wizard
<S> t,two
<S> g,go
<S> s a,say
<S> a s k e,asked
<S> v o i c,voice
<S> y e,yes
<S> r e,really
<S> l i,listening
<S> a n,anyone
<S> c a r e f,carefully
<S> t r,trying
<S> n,noticed
<S> c e r t,certainly
<S> s l y t,slytherin
<S> q u a f f l,quaffle
<S> f a m i l i,families
<S> s o m,some
<S> h i,him
<S> f i n,find
<S> s,sorry
<S> s,snapped
<S> s,say
<S> k,keep
<S> d o w,down
<S> b e h,behind
<S> h e a,heart
<S> d,different
<S> f a c,face
<S> c,christmas
<S> b,but
<S> r i g,right
<S> m o r,morning
<S> p e r c,percy
<S> h,her
<S> u n i c,unicorn
<S> p,put
<S> t a l k i n,talking
<S> c,could
<S> p r o f e s s,professor
<S> p,place
<S> s a i,said
<S> i m p o r t a n,important
<S> t i m,time
<S> n e a r l,nearly
<S> n o t h i n,nothing
<S> b o,boy
<S> c e r t a,certainly
<S> e n,end
<S> c h,chocolate
<S> w h a,what
<S> s h,shook
<S> w i t h o u,without
<S> o p,open
<S> n a m,name
<S> w,way
<S> f,firenze
<S> t r o,trouble
<S> p u,put
<S> s t e,stepped
